title,firstName,lastName,email,phone,company,estimatedValue,assignedTo
Elektriker - T&B electronic GmbH,Ansprechpartner,unbekannt,sales@tbelectronic.de,05181 909910,T&B electronic GmbH,31,
Elektriker - HELMS Elektro-Anlagen GmbH & Co. KG,Ansprechpartner,unbekannt,helms-elektro@t-online.de,0511 715242,HELMS Elektro-Anlagen GmbH & Co. KG,28,
Elektriker - Elektro Witteck,Ansprechpartner,unbekannt,info@elektro-witteck.de,05126 803538,Elektro Witteck,41,
Elektriker - Clemens Maier Elektroinstallation Bettmarer Elektro-Service,Ansprechpartner,unbekannt,info@bes-maier.de,05121 888836,Clemens Maier Elektroinstallation Bettmarer Elektro-Service,31,
Elektriker - ELNA Elektro - und Nachrichtentechnik GmbH,Ansprechpartner,unbekannt,info@elna-gmbh.de,05066 924090,ELNA Elektro - und Nachrichtentechnik GmbH,28,
Elektriker - Krone,Ansprechpartner,unbekannt,info@krone-algermissen.de,05126 1845,Krone,31,
Elektriker - Ulrike Rohr GmbH & Co.KG Elektro-Installationen,Ansprechpartner,unbekannt,elektrorohr@t-online.de,05060 961010,Ulrike Rohr GmbH & Co.KG Elektro-Installationen,31,
Elektriker - SAE Steiner Automation und Elektrotechnik,Ansprechpartner,unbekannt,sae-steiner@t-online.de,05063 7994071,SAE Steiner Automation und Elektrotechnik,31,
Elektriker - PV Elektrotechnik,Ansprechpartner,unbekannt,info@pv-elektrik.de,01512 9401829,PV Elektrotechnik,34,
Elektriker - RR.mein.elektromeister Bad Salzdetfurth,Ansprechpartner,unbekannt,info@rr-photovoltaik.de,0511 6478168,RR.mein.elektromeister Bad Salzdetfurth,21,
Elektriker - HI-Elektro - Elektriker in Hildesheim,Ansprechpartner,unbekannt,info@hi-elektro.de,0176 84180803,HI-Elektro - Elektriker in Hildesheim,31,
Elektriker - Lothar Sander Elektro GmbH,Ansprechpartner,unbekannt,-nsdafrn@lkorect.eoemoi,05064 85555,Lothar Sander Elektro GmbH,31,
Elektriker - Souza Elektrotechnik,Ansprechpartner,unbekannt,info@souza.de,0171 8413790,Souza Elektrotechnik,31,
Elektriker - Industrieautomation Hildesheim GmbH,Ansprechpartner,unbekannt,info@industrieautomation-hildesheim.de,05121 6753585,Industrieautomation Hildesheim GmbH,44,
Elektriker - Elektro Wasmer,Ansprechpartner,unbekannt,info@elektro-wasmer.de,05121 52023,Elektro Wasmer,44,
Elektriker - MKD-Elektro GbR,Ansprechpartner,unbekannt,info@mkd-elektro.de,05065 9250,MKD-Elektro GbR,31,
Elektriker - Elektro Beckmann GmbH,Ansprechpartner,unbekannt,info@elektro-beckmann.com,05182 4742,Elektro Beckmann GmbH,31,
"Elektriker - ESW Elektro-, Sondermaschinen- und Werkzeugbau GmbH",Ansprechpartner,unbekannt,info@esw-elze.de,05068 57157,"ESW Elektro-, Sondermaschinen- und Werkzeugbau GmbH",34,
Elektriker - Elektramation e.K.,Ansprechpartner,unbekannt,elze@elektramation.de,05068 98120,Elektramation e.K.,44,
Elektriker - Aral pulse Charging Station,Ansprechpartner,unbekannt,datens@de.bp.com,0800 1353511,Aral pulse Charging Station,24,
Elektriker - Elektrha GmbH,Ansprechpartner,unbekannt,kontakt@elektrha.de,05184 950346,Elektrha GmbH,31,
Elektriker - Laufer Elektrotechnik,Ansprechpartner,unbekannt,laufer_elektro@web.de,05121 777786,Laufer Elektrotechnik,44,
Elektriker - Frank Laufer Elektroinstallationen,Ansprechpartner,unbekannt,laufer_elektro@web.de,05066 62603,Frank Laufer Elektroinstallationen,41,
Elektriker - Braukmann Elektrotechnik GmbH,Ansprechpartner,unbekannt,info@braukmann-elektro.de,05121 57410,Braukmann Elektrotechnik GmbH,56,
Elektriker - Karch Elektro,Ansprechpartner,unbekannt,mail@karch-elektro.de,05127 213669,Karch Elektro,34,
Elektriker - Schlüter-Elektrotechnik GmbH,Ansprechpartner,unbekannt,Impressum@schlueter-elektrotechnik.de,05121 52475,Schlüter-Elektrotechnik GmbH,44,
Elektriker - Assmann Elektro-Sanitär-Heizungs-Lüftungsbau - Hildesheim,Ansprechpartner,unbekannt,info@assmann-gmbh.de,05121 76540,Assmann Elektro-Sanitär-Heizungs-Lüftungsbau - Hildesheim,28,
Elektriker - Elektro-Kempf,Ansprechpartner,unbekannt,info@elektro-kempf.com,05121 12117,Elektro-Kempf,44,
Elektriker - Elektro Bestian GmbH,Ansprechpartner,unbekannt,info@bestian-licht.de,05121 20530,Elektro Bestian GmbH,31,
Elektriker - MS Elektrotechnik Michael Schmelzer,Ansprechpartner,unbekannt,info@ms-elektrotechnik-hi.de,05121 1028984,MS Elektrotechnik Michael Schmelzer,44,
Elektriker - ESM Elektroservice Mai,Ansprechpartner,unbekannt,ia@-.me,05121 518771,ESM Elektroservice Mai,24,
Elektriker - Elektro-Lindemann GmbH,Ansprechpartner,unbekannt,info@elektro-lindemann.de,05121 9187000,Elektro-Lindemann GmbH,28,
Elektriker - Elektro Fischer Inh. Michael Fischer,Ansprechpartner,unbekannt,info@denic.de,05121 34765,Elektro Fischer Inh. Michael Fischer,31,
Elektriker - Florian Fischer Elektromeister,Ansprechpartner,unbekannt,office@elektromeister-fischer.de,05121 4026425,Florian Fischer Elektromeister,28,
Elektriker - Böhm Elektro-Installations-GmbH Nordstemmen,Ansprechpartner,unbekannt,info@elektro-boehm.de,05069 96333,Böhm Elektro-Installations-GmbH Nordstemmen,28,
Elektriker - Scharnberger + Hasenbein Elektro GmbH,Ansprechpartner,unbekannt,info@scharnberger-hasenbein.de,05069 80630,Scharnberger + Hasenbein Elektro GmbH,44,
Elektriker - Wunderlich Elektronik GmbH,Ansprechpartner,unbekannt,info@wunderlich-elektronik.de,05066 600050,Wunderlich Elektronik GmbH,44,
Elektriker - EP:Burandt + Hoffmann,Ansprechpartner,unbekannt,burandt.hoffmann@htp-tel.de,05066 2783,EP:Burandt + Hoffmann,31,
Elektriker - Elektro Service Staudte,Ansprechpartner,unbekannt,info@elektro-staudte.de,0511 2613815,Elektro Service Staudte,44,
Elektriker - Haustechnik Gleitz,Ansprechpartner,unbekannt,shk-gleitz@web.de,05123 4090550,Haustechnik Gleitz,24,
Elektriker - Enegieberatung Ingenieur Aigner,Ansprechpartner,unbekannt,aigner@andreasaigner.de,05123 4525,Enegieberatung Ingenieur Aigner,44,
Elektriker - Dalhoff & Heise GmbH,Ansprechpartner,unbekannt,kontakt@dalhoffundheise.de,05123 4009966,Dalhoff & Heise GmbH,31,
Elektriker - Jörg Bokelmann,Ansprechpartner,unbekannt,shk-bokelmann@t-online.de,05123 7800,Jörg Bokelmann,28,
Elektriker - TDZ Photovoltaik,Ansprechpartner,unbekannt,info@tdz-online.de,05128 400492,TDZ Photovoltaik,44,
Elektriker - Netzgesellschaft Hildesheimer Land-Ladestation,Ansprechpartner,unbekannt,redaktion@hildesheimer-presse.de,0800 2255793,Netzgesellschaft Hildesheimer Land-Ladestation,24,
Elektriker - Elektro Marhauer,Ansprechpartner,unbekannt,info@mkd-elektro.de,09250 05065,Elektro Marhauer,21,
