company_name,category,address,city,postal_code,country,phone,email,website,instagram,facebook,tiktok,youtube,linkedin,google_rating,review_count,has_website,website_quality,lead_score,priority,source,scraped_at,maps_url,website_status,website_final_url,website_http_status,website_https,website_title,website_meta_description,website_h1,website_mobile_meta,website_has_phone,website_has_email,website_impressum,website_datenschutz,website_instagram,website_facebook,website_linkedin,website_youtube,website_tiktok,website_ssl_valid,website_load_time_ms,website_contact_form,website_robots_txt,website_sitemap,website_score
Dein Elektriker.Hamburg Elektrotechnik Philipp Schönknecht,Elektriker,"Randstraße 1, 22525 Eimsbüttel",Hamburg,,Deutschland,040 30929840,info@DeinElektriker.hamburg,http://www.deinelektriker.hamburg/,,,,,,4.7,,true,HOCH,,,Google Maps,2026-09-14T12:46:58.171834,https://www.google.com/maps/place/Dein+Elektriker.Hamburg+Elektrotechnik+Philipp+Sch%C3%B6nknecht/data=!4m7!3m6!1s0x47b18f4c5f6424ab:0xd931bc0846f98dd2!8m2!3d53.5849979!4d9.9290077!16s%2Fg%2F11h9qf7tdg!19sChIJqyRkX0yPsUcR0o35Rgi8Mdk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://deinelektriker.hamburg/,200,true,DeinElektriker | Hamburg,"Von unserem Elektrofachbetrieb aus Hamburg erhältst Du Qualitätslösungen aus einer Hand – maßgefertigt, zukunftsorientiert, termintreu.",Elektrisierender Full-Service,true,true,true,true,true,true,true,false,false,false,false,693,false,true,true,88
SF Elektrotechnik,Elektriker,"Schwertlilienweg 16, 22119 Hamburg",Hamburg,,Deutschland,01522 7424403,info@sfelektrotechnik.de,http://www.sfelektrotechnik.de/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-14T12:47:04.952376,https://www.google.com/maps/place/SF+Elektrotechnik/data=!4m7!3m6!1s0x47b18d076f809621:0xa544022873e363b1!8m2!3d53.5645506!4d10.1284162!16s%2Fg%2F11tcn9dq9b!19sChIJIZaAbweNsUcRsWPjcygCRKU?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.sfelektrotechnik.de/,200,true,Ihr Elektriker in Hamburg,Ihr zuverlÃ¤ssiger Elektriker im Herzen von Hamburg.,ZuverlÃ¤ssig - Professionell - Fair,true,true,true,true,true,false,false,false,false,false,false,475,false,true,true,84
Elektrotechnik Schulz GmbH,Elektriker,"Wendemuthstraße 40, 22041 Wandsbek",Hamburg,,Deutschland,040 22609848,info@e-technik-schulz.de,http://www.e-technik-schulz.de/,,,,,,4.6,,true,HOCH,,,Google Maps,2026-09-14T12:47:14.851669,https://www.google.com/maps/place/Elektrotechnik+Schulz+GmbH/data=!4m7!3m6!1s0x47b18b5fd48b1bbb:0xf99ff786a2803a93!8m2!3d53.57832!4d10.07197!16s%2Fg%2F11h0vm73tp!19sChIJuxuL1F-LsUcRkzqAoob3n_k?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://e-technik-schulz.de/,200,true,Elektrotechnik Schulz - Professionelle Elektroinstallationen,Willkommen bei Elektrotechnik Schulz aus Hamburg. Professionelle Elektroinstallationen und Lösungen für Privat- und Geschäftskunden.,Professionelle Elektroinstallationen und Lösungen seit 2015 für,true,true,true,true,true,true,true,false,false,true,false,3543,true,true,true,86
Elektro Witt,Elektriker,"Am Stadtrand 22, 22047 Wandsbek",Hamburg,,Deutschland,040 89704242,,http://e-witt.de/,,,,,,4.8,,true,HOCH,,,Google Maps,2026-09-14T12:47:23.635179,https://www.google.com/maps/place/Elektro+Witt/data=!4m7!3m6!1s0x47b18b1666b6547f:0xe0eaeb9c957da5aa!8m2!3d53.5865952!4d10.1005619!16s%2Fg%2F11n97gc5w3!19sChIJf1S2ZhaLsUcRqqV9lZzr6uA?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.e-witt.de/,200,true,Elektriker in Hamburg | Elektroinstallateure | Witt Elektro,Als Elektriker sind wir im Großraum Hamburg für private und geschäftliche Kunden im Einsatz. Nehmen Sie Kontakt zu unseren Elektroinstallateuren auf!,Elektriker – Ihr Ansprechpartner mit persönlicher Betreuung,true,true,false,true,true,true,true,false,false,false,false,654,true,true,true,92
TG Elektrotechnik | Hamburg,Elektriker,"Moorfleeter Str. 15, 22113 Hamburg",Hamburg,,Deutschland,0176 30494642,,http://www.grulke-elektrotechnik.de/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-14T12:47:32.080294,https://www.google.com/maps/place/TG+Elektrotechnik+%7C+Hamburg/data=!4m7!3m6!1s0x8f798ec234e0df69:0x151b110adb0484e1!8m2!3d53.5347413!4d10.0986114!16s%2Fg%2F11pts7z934!19sChIJad_gNMKOeY8R4YQE2woRGxU?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.grulke-elektrotechnik.de/,200,true,TG Elektrotechnik | Elektroinstallateure im Raum Hamburg,Sie sind auf der Suche nach kompetenten Elektroinstallateuren? Wir sind Ihr Partner für Elektrotechnik und Elektroinstallationen aus Meisterhand!,TG Elektrotechnik – Ihre Elektroinstallateure für Hamburg und Umgebung,true,true,false,true,true,false,false,true,false,false,false,625,true,true,true,92
AFG Elektrotechnik,Elektriker,"Cuxhavener Str. 128 B, 21149 Harburg",Hamburg,,Deutschland,0171 7231242,,https://afg-elektrotechnik.de/,,,,,,4.6,,true,HOCH,,,Google Maps,2026-09-14T12:47:38.936677,https://www.google.com/maps/place/AFG+Elektrotechnik/data=!4m7!3m6!1s0x47b1883109846da9:0x5bddef0ffb9ab114!8m2!3d53.472092!4d9.891378!16s%2Fg%2F11h0mvqs2y!19sChIJqW2ECTGIsUcRFLGa-w_v3Vs?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.afg-elektrotechnik.de/,200,true,Elektriker Hamburg | AFG Elektrotechnik GmbH,"AFG Elektrotechnik GmbH: Elektriker in Hamburg für Elektroinstallation, KNX Smart Home, PV, Wallbox und Tesla Powerwall. Tesla Energy zertifizierter Partner.","Elektriker in Hamburg für Elektroinstallation, Smart Home und Gebäudetechnik",true,true,true,true,true,false,false,false,false,false,false,689,false,true,true,84
Bartsch Elektrotechnik GmbH,Elektriker,"Ruwoldtweg 4, 22309 Wandsbek",Hamburg,,Deutschland,040 88165220,mail@bartsch-elektro.de,http://bartsch-elektro.de/,,,,,,4.8,,true,HOCH,,,Google Maps,2026-09-14T12:47:46.604296,https://www.google.com/maps/place/Bartsch+Elektrotechnik+GmbH/data=!4m7!3m6!1s0x47b1890d36192403:0xb393b7d9c804ae22!8m2!3d53.609462!4d10.05121!16s%2Fg%2F1tfxx22b!19sChIJAyQZNg2JsUcRIq4EyNm3k7M?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.bartsch-elektro.de/,200,true,Bartsch Elektrotechnik GmbH in Hamburg,,Bartsch Elektrotechnik GmbH in Hamburg,true,true,true,true,true,true,true,false,false,false,false,631,true,true,true,88
Richter Elektrotechnik GmbH,Elektriker,"Haldesdorfer Str. 72a, 22179 Wandsbek",Hamburg,,Deutschland,0176 72237172,info@richterelektrotechnik.com,http://www.richterelektrotechnik.com/,,,,,,4.6,,true,MITTEL,,,Google Maps,2026-09-14T12:47:55.925872,https://www.google.com/maps/place/Richter+Elektrotechnik+GmbH/data=!4m7!3m6!1s0x47b18bee162fa387:0x193c3a29c7dd3286!8m2!3d53.5983571!4d10.0762299!16s%2Fg%2F11np3khql8!19sChIJh6MvFu6LsUcRhjLdxyk6PBk?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.richterelektrotechnik.com/,200,true,Elektriker Hamburg | Richter Elektrotechnik,"Ihr Elektriker-Meisterbetrieb in Hamburg – zuverlässige Elektroinstallationen, Smart Home & Beleuchtung. 500+ zufriedene Kunden. Jetzt Angebot anfragen!",,true,true,true,true,true,false,false,false,false,false,false,2368,false,true,true,73
Günter Junghans Elektrotechnik,Elektriker,"Köppenstraße 10, 22453 Hamburg-Nord",Hamburg,,Deutschland,040 515988,,,,,,,,4.7,,false,KEINE WEBSITE,,,Google Maps,2026-09-14T12:48:03.068409,https://www.google.com/maps/place/G%C3%BCnter+Junghans+Elektrotechnik/data=!4m7!3m6!1s0x47b18f4e6c0f2c69:0xd57fb8464b10ce2b!8m2!3d53.6077877!4d9.9796886!16s%2Fg%2F1w96ft4f!19sChIJaSwPbE6PsUcRK84QS0a4f9U?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100
ELEKTROHAMBURG AS GmbH,Elektriker,"Offakamp 9c, 22529 Eimsbüttel",Hamburg,,Deutschland,040 320300030,moin@elektrohamburg.de,https://www.elektrohamburg.de/?utm_source=local&utm_medium=organic&utm_campaign=gmb,,,,,,5.0,,true,MITTEL,,,Google Maps,2026-09-14T12:48:10.401713,https://www.google.com/maps/place/ELEKTROHAMBURG+AS+GmbH/data=!4m7!3m6!1s0x47b18ee1751b07d3:0x4ae3dbbf00dc1e9d!8m2!3d53.6002356!4d9.9694318!16s%2Fg%2F1vfzd6_5!19sChIJ0wcbdeGOsUcRnR7cAL_b40o?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektrohamburg.de/?utm_source=local&utm_medium=organic&utm_campaign=gmb,200,true,Ihr Partner für Elektrotechnik in Hamburg | elektrohamburg AS GmbH,Wir sind Ihr top Ansprechpartner in Sachen Elektrotechnik in Hamburg! ✔️ über 20 Jahre Erfahrung ✔️ 5 Jahre Gewährleistung ✔️ kostenlose Beratung,,true,false,false,true,true,true,true,false,false,false,false,1678,true,true,true,75
Novatok Elektro,Elektriker,"Leibnizstraße 1-3, 38228 Lebenstedt",Alfeld (Leine),,Deutschland,0176 76966733,info@novatok.de,https://www.novatok.de/,,,,,,4.8,,true,MITTEL,,,Google Maps,2026-09-15T11:05:06.179577,https://www.google.com/maps/place/Novatok+Elektro/data=!4m7!3m6!1s0x788808bbdf5ea3b:0x372a582981890f0b!8m2!3d52.144535!4d10.316057!16s%2Fg%2F11y2gb5480!19sChIJO-r1vYuAiAcRCw-JgSlYKjc?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.novatok.de/,200,true,Novatok Elektro,,,true,true,true,true,true,false,false,false,false,false,false,472,false,false,false,66
Paul Meyer Elektrotechnik,Elektriker,"Borsigstraße 7, 31061 Alfeld (Leine)-Limmer",Alfeld (Leine),,Deutschland,05181 8527962,info@meyer-alfeld.de,https://www.meyer-alfeld.de/,,,,,,4.8,,true,HOCH,,,Google Maps,2026-09-15T11:05:14.780877,https://www.google.com/maps/place/Paul+Meyer+Elektrotechnik/data=!4m7!3m6!1s0x47bab945cc67821f:0xacb8668af5888a02!8m2!3d51.9934879!4d9.7939494!16s%2Fg%2F11g1npkqy4!19sChIJH4JnzEW5ukcRAoqI9YpmuKw?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://meyer-alfeld.de/,200,true,Paul Meyer Elektrotechnik | Alfeld – Eine weitere WordPress-Seite,,Paul Meyer Elektrotechnik,true,true,true,true,true,true,true,false,true,false,false,2862,true,true,true,83
Elektrha GmbH,Elektriker,"Borsigstraße 6, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,05181 9176920,kontakt@elektrha.de,https://www.elektrha.de/,,,,,,4.3,,true,HOCH,,,Google Maps,2026-09-15T11:05:22.539532,https://www.google.com/maps/place/Elektrha+GmbH/data=!4m7!3m6!1s0x47bab854f7879e1b:0xece61deba74b17ad!8m2!3d51.9941581!4d9.793522!16s%2Fg%2F1tgs00xk!19sChIJG56H91S4ukcRrRdLp-sd5uw?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.elektrha.de/,200,true,Elektrha GmbH aus Alfeld – Elektro | PV,"Elektrha GmbH aus Alfeld – Experten für Elektro | PV – Beratung, Planung, Wartung, Modernisierung – Unternehmen &amp; Privatkunden",Moderne Technik – Wir bringen Innovation in Ihr Gebäude!,true,true,true,true,true,true,true,false,false,false,false,315,false,true,true,88
Elektro-Heinrich GmbH,Elektriker,"Eimser Weg 75, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,05181 3822,,,,,,,,3.8,,false,KEINE WEBSITE,,,Google Maps,2026-09-15T11:05:30.436660,https://www.google.com/maps/place/Elektro-Heinrich+GmbH/data=!4m7!3m6!1s0x47bab82effdf56f1:0x6bd528245f5f474c!8m2!3d51.9956595!4d9.8230774!16s%2Fg%2F1v7tkgs6!19sChIJ8Vbf_y64ukcRTEdfXyQo1Ws?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,KEINE WEBSITE,,,,,,,,,,,,,,,,,,,,,,100
Lydia Malten Elektrotechnik,Elektriker,"Hinter den Höfen 6, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,0170 3623732,info@malten-elektrotechnik.de,https://malten-elektrotechnik.de/,,,,,,5.0,,true,HOCH,,,Google Maps,2026-09-15T11:05:36.970498,https://www.google.com/maps/place/Lydia+Malten+Elektrotechnik/data=!4m7!3m6!1s0x852929fe6e8428e7:0xeeb7f998b8808684!8m2!3d51.9650913!4d9.8031094!16s%2Fg%2F11z3y4ztlh!19sChIJ5yiEbv4pKYURhIaAuJj5t-4?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://malten-elektrotechnik.de/,200,true,Malten Elektrotechnik — Kompetenz unter Spannung,"Ihr Meisterbetrieb für Elektroinstallation, Smart Home, Netzwerktechnik und Industrieservice im Raum Alfeld, Hildesheim und Südniedersachsen. Schnell, kompetent, zuverlässig.",Elektrotechnik Malten — Kompetenz unter Spannung,true,true,true,true,true,false,false,false,false,false,false,155,false,false,false,80
Mann & Partner Industrie-und Elektrotechnik GmbH,Elektriker,"Auf d. Hackelmasch 1, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,05181 805450,info@mannundpartner.de,http://www.mannundpartner.de/,,,,,,4.7,,true,MITTEL,,,Google Maps,2026-09-15T11:05:45.544223,https://www.google.com/maps/place/Mann+%26+Partner+Industrie-und+Elektrotechnik+GmbH/data=!4m7!3m6!1s0x47bab839c45c3899:0xfd584d14e8b6159!8m2!3d51.9835483!4d9.8159022!16s%2Fg%2F1tcwf28n!19sChIJmThcxDm4ukcRWWGLTtGE1Q8?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.mannundpartner.de/,200,true,Mann und Partner Industrie- und Elektrotechnik GmbH,,,true,true,false,true,true,true,true,true,false,false,false,850,true,true,true,78
expert Espelage,Elektriker,"Brunnenweg 16, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,05181 84030,f.espelage@espelage.de,https://www.expert.de/alfeld,,,,,,3.8,,true,HOCH,,,Google Maps,2026-09-15T11:05:53.569998,https://www.google.com/maps/place/expert+Espelage/data=!4m7!3m6!1s0x47bab83a869575d1:0x514ddc87e64ea59f!8m2!3d51.983243!4d9.8250439!16s%2Fg%2F1tjrp251!19sChIJ0XWVhjq4ukcRn6VO5ofcTVE?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://www.expert.de/alfeld,200,true,Elektromarkt in Ihrer Nähe mit Online-Shop – expert,Finden Sie hier Ihren expert Elektrofachmarkt in Ihrer Nähe und viele Aktionsangebote ✔ günstig im expert Online-Shop. expert – Mit den besten Empfehlungen.,,true,true,true,true,true,true,true,true,true,false,false,2187,true,true,true,85
JHM e. K.,Elektriker,"Auf d. Hackelmasch 1, 31061 Alfeld (Leine)",Alfeld (Leine),,Deutschland,05181 8558447,info@jhm-alfeld.de,https://elektriker-alfeld.de/,,,,,,,,true,HOCH,,,Google Maps,2026-09-15T11:06:01.235122,https://www.google.com/maps/place/JHM+e.+K./data=!4m7!3m6!1s0x47bab9494c7895ad:0x88b07eecd1547ea!8m2!3d51.983585!4d9.8163486!16s%2Fg%2F11w_h_tk6b!19sChIJrZV4TEm5ukcR6kcVze4Hiwg?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://elektriker-alfeld.de/,200,true,JHM e. K. – Ihr Elektriker in Alfeld | Elektroinstallationen & mehr,"Seit 2010 bietet Elektriker JHM e. K. in Alfeld und Umgebung professionelle Elektroinstallationen, Altbausanierungen, Neubauprojekte, E-Mobilitätslösungen, Netzwerktechnik, Video- und Sprechanlagen, Beleuchtungskonzepte, VDE-Geräteprüfungen und Photovoltaikanlagen. Kontaktieren Sie uns für individuelle Lösungen!",Top Kompetenz Service Qualität,true,true,false,true,true,false,false,false,false,false,false,260,true,true,true,88
WOLF-Service,Elektriker,"Brunker Stieg 2, 31061 Alfeld (Leine)-Limmer",Alfeld (Leine),,Deutschland,05181 85340,info@wolf-service.de,http://www.wolf-service.de/,,,,,,4.6,,true,HOCH,,,Google Maps,2026-09-15T11:06:08.653822,https://www.google.com/maps/place/WOLF-Service/data=!4m7!3m6!1s0x47bab9ac98564d77:0xd39662b49c7a834!8m2!3d51.99796!4d9.79925!16s%2Fg%2F1tdgthhn!19sChIJd01WmKy5ukcRNKjHSStmOQ0?authuser=0&hl=de&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,ERREICHBAR,https://wolfservice-shop.de/,200,true,Startseite,,IHRE ZUFRIEDENHEIT,true,true,true,true,true,true,true,false,false,false,false,650,true,true,true,88
